show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7554,Movie,Nacho Libre,Jared Hess,United States,2019-11-01,2006,PG,92 min,"Comedies, Sports Movies",57,2019.0,11.0,92
s7555,Movie,Naga The Eternal Yogi,Unknown,Unknown,,2016,TV-PG,73 min,"Documentaries, International Movies",62,,,73
s7556,TV Show,Nails,Dennis Bartok,Ireland,,2017,TV-MA,85 min,Horror Movies,0,,,85
s7557,Movie,Naledi: A Baby Elephant's Tale,"Ben Bowie, Geoff Luck",United States,2020-05-28,2016,TV-PG,91 min,Documentaries,52,2020.0,5.0,91
s7558,Movie,Namak Halaal,Prakash Mehra,India,2019-12-31,1982,TV-14,171 min,"Action & Adventure, Comedies, International Movies",9,2019.0,12.0,171
s7559,Movie,Namour,Heidi Saman,United States,2017-03-15,2016,NR,80 min,"Dramas, Independent Movies",93,2017.0,3.0,80
s7560,Movie,Naruto Shippuden : Blood Prison,Masahiko Murata,Japan,2017-09-01,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",90,2017.0,9.0,102
s7561,Movie,Natalia Valdebenito: Gritona,Natalia Valdebenito,United States,2017-11-10,2017,TV-MA,76 min,Stand-Up Comedy,90,2017.0,11.0,76
s7562,TV Show,National Bird,Unknown,Unknown,,2016,TV-MA,92 min,Documentaries,48,,,92
s7564,Movie,National Parks Adventure,Greg MacGillivray,United States,2018-02-01,2016,TV-G,42 min,Documentaries,0,2018.0,2.0,42
s7565,Movie,National Treasure,Jon Turteltaub,United States,2018-06-01,2004,PG,131 min,"Action & Adventure, Children & Family Movies",70,2018.0,6.0,131
s7566,Movie,Natsamrat - Asa Nat Hone Nahi,Mahesh Manjrekar,India,2018-06-01,2016,TV-14,165 min,"Dramas, International Movies",83,2018.0,6.0,165
s7567,Movie,Natural Born Pranksters,"Roman Atwood, Ben Pluimer",United States,2016-09-15,2016,R,91 min,Comedies,76,2016.0,9.0,91
s7568,Movie,Natural Selection,Chad L. Scheifele,United States,2016-12-01,2015,R,101 min,"Dramas, Independent Movies",62,2016.0,12.0,101
s7563,Movie,National Lampoon's Loaded Weapon 1,Gene Quintano,Not Given,2019-11-01,1993,PG-13,82 min,"Action & Adventure, Comedies, Independent Movies",1,2019.0,11.0,82
s7576,Movie,Nazi Concentration Camps,George Stevens,United States,2017-03-31,1945,TV-MA,59 min,"Classic Movies, Documentaries",84,2017.0,3.0,59
s7578,Movie,Neruda,Pablo Larraín,Chile,2017-06-26,2016,R,108 min,"Dramas, International Movies",76,2017.0,6.0,108
s7579,TV Show,Never Heard,Josh Webber,United States,,2018,TV-PG,89 min,"Dramas, Faith & Spirituality",32,,,89
s7580,Movie,New York Minute,Dennie Gordon,United States,2020-01-01,2004,PG,91 min,"Children & Family Movies, Comedies",70,2020.0,1.0,91
s7581,Movie,Newtown,Kim A. Snyder,United States,2017-04-07,2016,NR,84 min,Documentaries,53,2017.0,4.0,84
s7582,Movie,Next,Lee Tamahori,United States,2019-07-01,2007,PG-13,96 min,"Action & Adventure, Sci-Fi & Fantasy",97,2019.0,7.0,96
s7583,Movie,Nibunan,Arun Vaidyanathan,India,2018-05-01,2017,TV-14,124 min,"Action & Adventure, Dramas, International Movies",63,2018.0,5.0,124
s7584,Movie,Night Comes On,Jordana Spiro,United States,2020-08-27,2018,TV-MA,87 min,"Dramas, Independent Movies",66,2020.0,8.0,87
s7585,Movie,Night Moves,Kelly Reichardt,United States,2019-06-30,2013,R,113 min,"Dramas, Independent Movies, Thrillers",7,2019.0,6.0,113
s7586,Movie,Nightcrawler,Dan Gilroy,United States,2020-08-10,2014,R,118 min,"Dramas, Independent Movies, Thrillers",53,2020.0,8.0,118
